Pillars			
	Target Speed	10	m/s
	Penalty Time	5	sec
	Collision penalty	50	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	9.948	10.227	0	0	4.965	4.966	4.966	4.966	0	9.948	1	10.227	102.27%
2	100	10.805	9.445	0	0	5.231	5.293	5.307	5.277	0	10.805	1	9.445	94.45%
3	100	13.116	7.989	0	0	5.719	6.08	6.323	6.041	0	13.116	1	7.989	79.89%
4	100	17.792	6.61	0	0	6.656	7.139	8.763	7.519	0	17.792	1	6.61	66.10%
5	100	15.984	6.827	0	0	8.736	9.43	9.711	9.292	0	15.984	1	6.827	68.27%
6	100	15.321	7.165	0	0	10.496	10.868	10.804	10.723	0	15.321	1	7.165	71.65%
7	100	15.338	7.172	0	0	11.533	12.674	13.607	12.605	0	15.338	1	7.172	71.72%
8	100	35.972	3.917	0	0	14.048	15.992	18.985	16.342	0	35.972	1	3.917	39.17%
9	100	23.729	4.96	0	0	19.026	19.789	21.313	20.043	0	23.729	1	4.96	49.60%
10	100	28.187	4.348	0	0	19.469	18.994	17.216	18.560	0	28.187	1	4.348	43.48%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	9.922	10.161	0	0	5.252	5.253	5.253	5.253	0	9.922	1	10.161	101.61%
2	100	12.22	8.512	0	0	6.484	6.863	6.864	6.737	0	12.22	1	8.512	85.12%
3	100	12.126	8.368	1	0	6.958	8.362	8.385	7.902	50	62.126	0	0	83.68%
4	100	14	7.555	0	0	9.782	10.19	9.842	9.938	0	14	1	7.555	75.55%
5	100	13.545	7.932	0	0	9.829	9.574	9.74	9.714	0	13.545	1	7.932	79.32%
6	100	17.496	6.41	0	0	11.61	12.622	12.552	12.261	0	17.496	1	6.41	64.10%
7	100	15.632	7.02	0	0	12.965	13.483	13.919	13.456	0	15.632	1	7.02	70.20%
8	100	16.021	7.057	0	0	13.744	15.599	16.538	15.294	0	16.021	1	7.057	70.57%
9	100	27.917	5.338	0	0	18.378	19.236	16.697	18.104	0	27.917	1	5.338	53.38%
10	100	44.156	4.216	1	0	13.746	16.264	15.188	15.066	50	94.156	0	0	42.16%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	9.956	10.092	0	0	5.523	5.532	5.533	5.529	0	9.956	1	10.092	100.92%
2	100	11.41	9.061	0	0	5.647	5.674	5.674	5.665	0	11.41	1	9.061	90.61%
3	100	11.455	9.03	0	0	5.674	5.729	5.767	5.723	0	11.455	1	9.03	90.30%
4	100	15.88	6.688	0	0	6.499	6.521	6.768	6.596	0	15.88	1	6.688	66.88%
5	100	28.795	4.51	0	0	8.986	10.73	10.858	10.191	0	28.795	1	4.51	45.10%
6	100	14.968	7.856	0	0	11.506	11.674	11.677	11.619	0	14.968	1	7.856	78.56%
7	100	15.422	7.26	0	0	11.482	11.953	12.521	11.985	0	15.422	1	7.26	72.60%
8	100	16.232	6.824	0	0	12.165	12.457	13.4	12.674	0	16.232	1	6.824	68.24%
9	100	33.538	4.841	0	0	13.417	16.256	18.71	16.128	0	33.538	1	4.841	48.41%
10	100	27.74	4.523	0	0	18.588	18.537	16.815	17.980	0	27.74	1	4.523	45.23%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	10.054	10.108	0	0	7.973	7.987	7.987	7.982	0	10.054	1	10.108	101.08%
2	100	10.585	9.581	0	0	7.987	7.987	7.987	7.987	0	10.585	1	9.581	95.81%
3	100	12.608	8.139	0	0	7.987	7.893	7.846	7.909	0	12.608	1	8.139	81.39%
4	100	12.874	8.111	0	0	7.846	7.779	7.74	7.788	0	12.874	1	8.111	81.11%
5	100	21.279	5.33	0	0	8.092	9.396	11.256	9.581	0	21.279	1	5.33	53.30%
6	100	15.188	7.599	0	0	11.697	11.88	12.162	11.913	0	15.188	1	7.599	75.99%
7	100	15.345	7.27	0	0	12.823	12.303	12.234	12.453	0	15.345	1	7.27	72.70%
8	100	27.098	4.457	1	0	13.173	14.206	15.488	14.289	50	77.098	0	0	44.57%
9	100	23.661	5.482	0	0	16.427	19.084	19.737	18.416	0	23.661	1	5.482	54.82%
10	100	30.159	4.331	1	0	19.971	18.574	16.057	18.201	50	80.159	0	0	43.31%

Iteration  5	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	9.882	10.074	0	0	3.489	3.491	3.491	3.490	0	9.882	1	10.074	100.74%
2	100	11.26	9.181	0	0	3.491	4.213	4.703	4.136	0	11.26	1	9.181	91.81%
3	100	11.643	8.954	0	0	4.814	5.227	5.388	5.143	0	11.643	1	8.954	89.54%
4	100	15.46	7.321	0	0	7.004	7.618	8.396	7.673	0	15.46	1	7.321	73.21%
5	100	14.638	7.593	0	0	8.48	8.42	9.745	8.882	0	14.638	1	7.593	75.93%
6	100	17.045	6.54	0	0	10.632	12.568	16.298	13.166	0	17.045	1	6.54	65.40%
7	100	14.39	7.452	0	0	17.274	17.906	19.479	18.220	0	14.39	1	7.452	74.52%
8	100	15.332	7.186	0	0	18.111	19.092	19.618	18.940	0	15.332	1	7.186	71.86%
9	100	32.958	4.41	0	0	17.864	20.253	20.704	19.607	0	32.958	1	4.41	44.10%
10	100	22.624	5.254	0	0	17.873	17.77	16.554	17.399	0	22.624	1	5.254	52.54%

Iteration  6	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	9.924	10.091	0	0	5.139	5.14	5.14	5.140	0	9.924	1	10.091	100.91%
2	100	11.132	9.164	0	0	5.252	5.28	5.295	5.276	0	11.132	1	9.164	91.64%
3	100	13.089	8.136	0	0	5.973	6.319	6.384	6.225	0	13.089	1	8.136	81.36%
4	100	15.355	6.922	0	0	6.274	6.78	8.04	7.031	0	15.355	1	6.922	69.22%
5	100	16.578	6.858	0	0	9.597	8.939	8.801	9.112	0	16.578	1	6.858	68.58%
6	100	16.456	6.77	0	0	10.187	11.923	15.657	12.589	0	16.456	1	6.77	67.70%
7	100	15.719	7.208	0	0	15.741	16.406	17.998	16.715	0	15.719	1	7.208	72.08%
8	100	14.915	7.434	0	0	17.034	18.734	18.997	18.255	0	14.915	1	7.434	74.34%
9	100	25.935	5.341	0	0	19.287	19.546	20.343	19.725	0	25.935	1	5.341	53.41%
10	100	22.765	5.441	0	0	19.914	19.767	16.009	18.563	0	22.765	1	5.441	54.41%

Iteration  7	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	10.066	10.101	0	0	7.66	7.672	7.672	7.668	0	10.066	1	10.101	101.01%
2	100	11.172	9.122	0	0	7.672	7.622	7.579	7.624	0	11.172	1	9.122	91.22%
3	100	11.948	8.567	0	0	7.579	7.605	7.663	7.616	0	11.948	1	8.567	85.67%
4	100	12.008	8.422	1	0	7.644	7.698	8.576	7.973	50	62.008	0	0	84.22%
5	100	14.312	7.436	0	0	8.603	8.812	11.034	9.483	0	14.312	1	7.436	74.36%
6	100	23.582	5.221	1	0	12.587	13.381	12.196	12.721	50	73.582	0	0	52.21%
7	100	14.539	7.704	0	0	11.87	12.673	12.736	12.426	0	14.539	1	7.704	77.04%
8	100	15.351	7.193	0	0	13.736	15.974	18.099	15.936	0	15.351	1	7.193	71.93%
9	100	28.101	4.364	0	0	19.358	20.01	19.129	19.499	0	28.101	1	4.364	43.64%
10	100	23.636	6.073	0	0	18.664	16.908	13.193	16.255	0	23.636	1	6.073	60.73%

Iteration  8	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	10.054	10.101	0	0	7.625	7.637	7.638	7.633	0	10.054	1	10.101	101.01%
2	100	9.953	10.114	0	0	7.638	7.638	7.638	7.638	0	9.953	1	10.114	101.14%
3	100	11.415	8.9	0	0	7.638	7.638	7.638	7.638	0	11.415	1	8.9	89.00%
4	100	14.832	7.437	0	0	7.779	8.096	8.785	8.220	0	14.832	1	7.437	74.37%
5	100	13.179	8.027	0	0	8.612	8.785	9.918	9.105	0	13.179	1	8.027	80.27%
6	100	17.779	6.338	0	0	10.946	11.429	14.51	12.295	0	17.779	1	6.338	63.38%
7	100	15.13	6.962	1	0	15.534	16.042	16.703	16.093	50	65.13	0	0	69.62%
8	100	22.089	5.319	0	0	15.593	16.861	18.095	16.850	0	22.089	1	5.319	53.19%
9	100	23.208	5.126	0	0	16.903	18.076	19.395	18.125	0	23.208	1	5.126	51.26%
10	100	27.274	5.567	0	0	19.507	18.366	14.615	17.496	0	27.274	1	5.567	55.67%

Iteration  9	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	9.969	10.097	0	0	5.019	5.02	5.02	5.020	0	9.969	1	10.097	100.97%
2	100	10.602	9.521	0	0	5.301	5.494	5.496	5.430	0	10.602	1	9.521	95.21%
3	100	10.83	9.477	0	0	5.496	5.622	5.738	5.619	0	10.83	1	9.477	94.77%
4	100	15.63	6.871	0	0	6.161	6.358	7.674	6.731	0	15.63	1	6.871	68.71%
5	100	15.137	7.117	0	0	9.807	10.599	11.551	10.652	0	15.137	1	7.117	71.17%
6	100	14.755	7.95	0	0	11.879	13.257	12.738	12.625	0	14.755	1	7.95	79.50%
7	100	15.945	7.129	0	1	13.677	14.143	14.596	14.139	0	15.945	0	7.129	71.29%
8	100	16.092	7.039	0	0	14.936	16.891	16.944	16.257	0	16.092	1	7.039	70.39%
9	100	23.019	5.146	0	0	18.93	19.202	19.817	19.316	0	23.019	1	5.146	51.46%
10	100	24.085	5.191	0	1	19.32	17.906	15.995	17.740	0	24.085	0	5.191	51.91%

Iteration  10	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	9.937	10.104	0	0	5.416	5.417	5.417	5.417	0	9.937	1	10.104	101.04%
2	100	11.389	9.022	0	0	5.544	5.593	5.593	5.577	0	11.389	1	9.022	90.22%
3	100	12.673	8.245	0	0	5.688	6.357	6.368	6.138	0	12.673	1	8.245	82.45%
4	100	14.477	7.33	0	0	7.266	7.846	7.972	7.695	0	14.477	1	7.33	73.30%
5	100	14.13	7.527	1	0	8.19	8.88	10.569	9.213	50	64.13	0	0	75.27%
6	100	36.602	3.854	0	0	11.365	12.548	13.029	12.314	0	36.602	1	3.854	38.54%
7	100	15.11	7.461	0	0	12.802	13.542	13.502	13.282	0	15.11	1	7.461	74.61%
8	100	16.648	6.768	0	0	12.371	15.079	17.487	14.979	0	16.648	1	6.768	67.68%
9	100	26.299	5.505	0	0	19.421	19.291	19.682	19.465	0	26.299	1	5.505	55.05%
10	100	21.511	5.245	0	0	18.803	18.096	17.334	18.078	0	21.511	1	5.245	52.45%
