Pillars			
	Target Speed	2	m/s
	Penalty Time	5	sec
	Collision penalty	10	sec

Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	50.043	2.02	0	0	5.726	5.726	5.726	5.726	0	50.043	1	2.02	101.00%
2	100	50.855	2.033	0	0	5.726	5.726	5.726	5.726	0	50.855	1	2.033	101.65%
3	100	51.812	2.031	0	0	5.728	5.772	5.774	5.758	0	51.812	1	2.031	101.55%
4	100	52.04	2.034	0	0	6.644	7.301	7.353	7.099	0	52.04	1	2.034	101.70%
5	100	56.648	2.03	0	0	7.397	7.397	8.38	7.725	0	56.648	1	2.03	101.50%
6	100	52.42	2.036	0	0	8.721	9.602	9.699	9.341	0	52.42	1	2.036	101.80%
7	100	54.014	2.039	0	0	11.595	12.674	12.929	12.399	0	54.014	1	2.039	101.95%
8	100	53.309	2.066	0	0	15.483	19.983	21.219	18.895	0	53.309	1	2.066	103.30%
9	100	51.435	2.044	0	0	22.184	21.86	21.541	21.862	0	51.435	1	2.044	102.20%
10	100	95.177	1.868	0	0	21.524	20.719	20.991	21.078	0	95.177	1	1.868	93.40%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	50.183	2.017	0	0	7.115	7.115	7.115	7.115	0	50.183	1	2.017	100.85%
2	100	49.956	2.013	0	0	7.115	7.115	7.115	7.115	0	49.956	1	2.013	100.65%
3	100	51.587	2.022	0	0	7.115	7.178	7.254	7.182	0	51.587	1	2.022	101.10%
4	100	52.544	2.036	0	0	7.34	7.348	7.388	7.359	0	52.544	1	2.036	101.80%
5	100	51.511	2.035	0	0	7.395	7.395	8.384	7.725	0	51.511	1	2.035	101.75%
6	100	54.365	2.042	0	0	9.144	9.408	10.454	9.669	0	54.365	1	2.042	102.10%
7	100	53.658	2.043	0	0	12.01	12.732	12.91	12.551	0	53.658	1	2.043	102.15%
8	100	53.175	2.065	0	0	15.487	20.198	21.159	18.948	0	53.175	1	2.065	103.25%
9	100	51.761	2.049	0	0	22.099	21.835	21.621	21.852	0	51.761	1	2.049	102.45%
10	100	95.387	1.86	0	0	21.487	20.685	20.685	20.952	0	95.387	1	1.86	93.00%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	50.097	2.012	0	0	5.729	5.729	5.729	5.729	0	50.097	1	2.012	100.60%
2	100	50.297	2.016	0	0	5.729	5.729	5.729	5.729	0	50.297	1	2.016	100.80%
3	100	50.64	2.015	0	0	5.729	5.729	5.729	5.729	0	50.64	1	2.015	100.75%
4	100	52.55	2.044	0	0	6.169	6.277	6.31	6.252	0	52.55	1	2.044	102.20%
5	100	56.433	2.031	0	0	6.23	6.257	7.368	6.618	0	56.433	1	2.031	101.55%
6	100	52.526	2.037	0	0	7.748	8.772	8.911	8.477	0	52.526	1	2.037	101.85%
7	100	53.636	2.038	0	0	11.074	12.609	12.828	12.17	0	53.636	1	2.038	101.90%
8	100	55.114	2.055	0	0	15.297	19.698	20.619	18.538	0	55.114	1	2.055	102.75%
9	100	51.332	2.044	0	0	22.345	21.911	21.587	21.948	0	51.332	1	2.044	102.20%
10	100	52.123	2.07	0	0	20.867	17.799	18.195	18.954	0	52.123	1	2.07	103.50%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	50.129	2.008	0	0	7.112	7.112	7.112	7.112	0	50.129	1	2.008	100.40%
2	100	49.988	2.012	0	0	7.112	7.112	7.112	7.112	0	49.988	1	2.012	100.60%
3	100	51.783	2.026	0	0	7.112	7.21	7.342	7.221	0	51.783	1	2.026	101.30%
4	100	52.445	2.035	0	0	7.384	7.389	7.392	7.388	0	52.445	1	2.035	101.75%
5	100	55.638	2.037	0	0	7.436	7.436	7.958	7.61	0	55.638	1	2.037	101.85%
6	100	52.76	2.043	0	0	8.297	8.925	9.202	8.808	0	52.76	1	2.043	102.15%
7	100	53.724	2.034	0	0	11.213	12.608	12.9	12.24	0	53.724	1	2.034	101.70%
8	100	53.931	2.061	0	0	15.494	19.903	20.834	18.744	0	53.931	1	2.061	103.05%
9	100	80.909	1.828	0	0	21.594	20.817	19.792	20.734	0	80.909	1	1.828	91.40%
10	100	52.216	2.065	0	0	19.054	20.062	18.594	19.237	0	52.216	1	2.065	103.25%

Iteration  5	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	50.074	2.002	0	0	5.719	5.719	5.719	5.719	0	50.074	1	2.002	100.10%
2	100	50.909	2.026	0	0	5.719	5.719	5.719	5.719	0	50.909	1	2.026	101.30%
3	100	51.872	2.032	0	0	5.719	5.719	5.72	5.719	0	51.872	1	2.032	101.60%
4	100	52.434	2.038	0	0	6.19	6.512	6.534	6.412	0	52.434	1	2.038	101.90%
5	100	55.866	2.047	0	0	6.534	6.618	7.148	6.767	0	55.866	1	2.047	102.35%
6	100	52.849	2.035	0	0	7.475	8.197	8.242	7.971	0	52.849	1	2.035	101.75%
7	100	53.843	2.053	0	0	10.801	12.646	12.912	12.12	0	53.843	1	2.053	102.65%
8	100	53.375	2.057	0	0	15.437	20.083	21.215	18.912	0	53.375	1	2.057	102.85%
9	100	51.462	2.054	0	0	22.44	22.312	21.697	22.15	0	51.462	1	2.054	102.70%
10	100	62.586	1.761	0	0	20.804	16.823	18.675	18.767	0	62.586	1	1.761	88.05%

Iteration  6	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	50.045	2	0	0	5.735	5.735	5.735	5.735	0	50.045	1	2	100.00%
2	100	50.837	2.012	0	0	5.735	5.735	5.735	5.735	0	50.837	1	2.012	100.60%
3	100	51.668	2.031	0	0	5.738	5.782	5.783	5.768	0	51.668	1	2.031	101.55%
4	100	51.927	2.044	0	0	7.214	8.01	8.043	7.756	0	51.927	1	2.044	102.20%
5	100	55.902	2.037	0	0	8.043	8.044	8.575	8.221	0	55.902	1	2.037	101.85%
6	100	52.464	2.048	0	0	8.793	9.327	9.646	9.255	0	52.464	1	2.048	102.40%
7	100	53.876	2.029	0	0	11.331	12.607	12.927	12.288	0	53.876	1	2.029	101.45%
8	100	53.337	2.052	0	0	15.425	20.044	21.165	18.878	0	53.337	1	2.052	102.60%
9	100	51.418	2.058	0	0	22.203	21.847	21.677	21.909	0	51.418	1	2.058	102.90%
10	100	71.82	1.797	0	0	21.08	22.036	18.349	20.488	0	71.82	1	1.797	89.85%

Iteration  7	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	50.773	2.021	0	0	9.555	9.555	9.555	9.555	0	50.773	1	2.021	101.05%
2	100	50.608	2.021	0	0	9.555	9.555	9.555	9.555	0	50.608	1	2.021	101.05%
3	100	50.661	2.02	0	0	9.555	9.555	9.555	9.555	0	50.661	1	2.02	101.00%
4	100	52.001	2.024	0	0	9.555	9.555	9.555	9.555	0	52.001	1	2.024	101.20%
5	100	55.608	2.028	0	0	9.555	9.555	9.894	9.668	0	55.608	1	2.028	101.40%
6	100	52.712	2.034	0	0	10.032	10.144	10.191	10.122	0	52.712	1	2.034	101.70%
7	100	53.734	2.028	0	0	11.729	12.724	12.865	12.439	0	53.734	1	2.028	101.40%
8	100	53.101	2.052	0	0	15.36	20.131	21.186	18.892	0	53.101	1	2.052	102.60%
9	100	51.403	2.041	0	0	22.249	22.11	21.706	22.022	0	51.403	1	2.041	102.05%
10	100	77.766	1.816	0	0	21.819	23.356	18.438	21.204	0	77.766	1	1.816	90.80%

Iteration  8	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	50.197	2.026	0	0	7.106	7.106	7.106	7.106	0	50.197	1	2.026	101.30%
