Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	9.993	10.069	0	0	5.377	5.377	5.377	5.377	0	9.993	1	10.069	100.69%
2	100	10.889	9.446	0	0	5.377	5.821	6.073	5.757	0	10.889	1	9.446	94.46%
3	100	10.727	9.514	0	0	6.075	6.131	6.144	6.117	0	10.727	1	9.514	95.14%
4	100	10.78	9.522	0	0	6.207	6.312	6.313	6.277	0	10.78	1	9.522	95.22%
5	100	11.943	8.68	0	0	6.238	6.154	5.822	6.071	0	11.943	1	8.68	86.80%
6	100	18.934	6.562	0	0	8.708	8.861	8.903	8.824	0	18.934	1	6.562	65.62%
7	100	33.702	4.2	0	0	8.989	9.682	6.712	8.461	0	33.702	1	4.2	42.00%
8	100	19.432	6.869	1	0	6.29	6.355	6.251	6.299	50	69.432	0	0	68.69%
9	100	51.494	3.232	1	0	6.169	8.805	7.103	7.359	50	101.494	0	0	32.32%
10	100	57.854	3.134	1	0	8.313	12.934	10.902	10.716	50	107.854	0	0	31.34%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	10.045	9.986	0	0	5.088	5.088	5.088	5.088	0	10.045	1	9.986	99.86%
2	100	11.885	8.574	0	0	5.088	5.334	5.279	5.234	0	11.885	1	8.574	85.74%
3	100	12.842	8.062	0	0	5.33	5.712	6.392	5.811	0	12.842	1	8.062	80.62%
4	100	12.228	8.308	0	0	7.074	7.106	7.105	7.095	0	12.228	1	8.308	83.08%
5	100	15.966	7.042	0	0	6.082	4.621	4.837	5.18	0	15.966	1	7.042	70.42%
6	100	16.034	7.303	0	0	8.159	8.884	8.98	8.674	0	16.034	1	7.303	73.03%
7	100	31.768	4.18	0	0	8.96	8.303	7.475	8.246	0	31.768	1	4.18	41.80%
8	100	24.635	4.928	1	0	7.742	4.908	4.445	5.698	50	74.635	0	0	49.28%
9	100	24.917	5.279	1	0	6.263	4.439	4.732	5.145	50	74.917	0	0	52.79%
10	100	43.991	2.898	1	0	7.636	10.454	11.879	9.99	50	93.991	0	0	28.98%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	10.051	9.993	0	0	4.954	4.954	4.954	4.954	0	10.051	1	9.993	99.93%
2	100	11.428	8.867	0	0	4.954	5.072	5.016	5.014	0	11.428	1	8.867	88.67%
3	100	12.087	8.466	0	0	5.065	5.572	6.083	5.573	0	12.087	1	8.466	84.66%
4	100	11.987	8.576	0	0	6.545	6.751	6.735	6.677	0	11.987	1	8.576	85.76%
5	100	11.687	8.705	0	0	6.508	6.349	6.372	6.41	0	11.687	1	8.705	87.05%
6	100	21.81	5.191	0	0	7.248	6.812	7.216	7.092	0	21.81	1	5.191	51.91%
7	100	18.263	6.061	0	0	6.137	6.375	6.554	6.355	0	18.263	1	6.061	60.61%
8	100	23.475	4.811	0	0	6.919	5.652	5.039	5.87	0	23.475	1	4.811	48.11%
9	100	33.375	4.032	1	0	5.47	5.9	5.004	5.458	50	83.375	0	0	40.32%
10	100	50.605	3.035	1	0	5.454	7.327	7.394	6.725	50	100.605	0	0	30.35%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	9.97	10.055	0	0	4.965	4.965	4.965	4.965	0	9.97	1	10.055	100.55%
2	100	10.107	10.013	0	0	4.965	4.965	4.965	4.965	0	10.107	1	10.013	100.13%
3	100	10.259	9.857	0	0	5.246	5.359	5.359	5.321	0	10.259	1	9.857	98.57%
4	100	10.459	9.792	0	0	5.475	5.695	5.697	5.622	0	10.459	1	9.792	97.92%
5	100	11.981	9.039	0	0	5.61	6.134	6.155	5.966	0	11.981	1	9.039	90.39%
6	100	13.664	8.28	0	0	7.692	8.05	8.556	8.099	0	13.664	1	8.28	82.80%
7	100	24.144	5.247	3	0	9.276	7.662	7.56	8.166	150	174.144	0	0	52.47%
8	100	25.141	5.322	1	0	7.123	8.029	9.483	8.212	50	75.141	0	0	53.22%
9	100	42.915	3.713	2	0	4.988	6.858	10.072	7.306	100	142.915	0	0	37.13%
10	100	30.276	4.463	3	0	9.761	10.367	7.463	9.197	150	180.276	0	0	44.63%

Iteration  5	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	10.102	10.011	0	0	7.446	7.447	7.447	7.447	0	10.102	1	10.011	100.11%
2	100	12.42	8.675	0	0	7.298	6.286	6.234	6.606	0	12.42	1	8.675	86.75%
3	100	10.033	10.204	0	0	6.233	6.233	6.233	6.233	0	10.033	1	10.204	102.04%
4	100	10.346	9.813	0	0	6.233	6.233	6.233	6.233	0	10.346	1	9.813	98.13%
5	100	20.21	5.751	0	0	5.793	7.418	8.524	7.245	0	20.21	1	5.751	57.51%
6	100	16.513	6.415	1	0	8.284	6.433	5.23	6.649	50	66.513	0	0	64.15%
7	100	20.15	5.58	2	0	4.607	5.611	5.744	5.321	100	120.15	0	0	55.80%
8	100	19.408	5.551	0	0	5.802	5.694	5.433	5.643	0	19.408	1	5.551	55.51%
9	100	23.81	5.301	1	0	5.549	5.733	5.816	5.699	50	73.81	0	0	53.01%
