Trees			
	Target Speed	9	m/s
	Penalty Time	5	sec
	Collision penalty	45	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.121	9.012	0	0	5.754	5.754	5.754	5.754	0	11.121	1	9.012	100.13%
2	100	13.2	7.75	0	0	5.754	5.976	6.036	5.922	0	13.2	1	7.75	86.11%
3	100	11.218	8.985	0	0	6.036	6.036	6.036	6.036	0	11.218	1	8.985	99.83%
4	100	11.362	8.823	0	0	6.036	6.036	6.036	6.036	0	11.362	1	8.823	98.03%
5	100	18.658	6.049	0	0	6.255	8.773	9.182	8.07	0	18.658	1	6.049	67.21%
6	100	16.98	6.629	0	0	8.005	5.848	6.785	6.879	0	16.98	1	6.629	73.66%
7	100	21.047	5.586	0	0	5.412	7.57	7	6.661	0	21.047	1	5.586	62.07%
8	100	22.994	5.24	0	0	6.635	5.185	5.339	5.72	0	22.994	1	5.24	58.22%
9	100	49.29	3.131	0	0	6.105	4.854	5.981	5.647	0	49.29	1	3.131	34.79%
10	100	44.686	3.007	0	0	5.074	4.774	6.02	5.289	0	44.686	1	3.007	33.41%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.307	9	0	0	7.534	7.534	7.534	7.534	0	11.307	1	9	100.00%
2	100	11.155	9.027	0	0	7.534	7.534	7.534	7.534	0	11.155	1	9.027	100.30%
3	100	11.284	8.949	0	0	7.501	6.805	6.768	7.025	0	11.284	1	8.949	99.43%
4	100	11.41	8.934	0	0	6.768	6.768	6.749	6.762	0	11.41	1	8.934	99.27%
5	100	26.852	4.877	1	0	6.39	8.12	9.167	7.892	45	71.852	0	0	54.19%
6	100	14.262	8.025	1	0	8.968	8.348	7.913	8.41	45	59.262	0	0	89.17%
7	100	22.495	5.486	1	0	9.161	7.29	9.895	8.782	45	67.495	0	0	60.96%
8	100	23.712	5.242	2	0	9.059	6.583	6.838	7.493	90	113.712	0	0	58.24%
9	100	39.508	3.514	2	0	7.889	8.134	8.657	8.227	90	129.508	0	0	39.04%
10	100	52.373	2.861	0	0	8.404	10.912	10.419	9.912	0	52.373	1	2.861	31.79%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.09	9.025	0	0	5.683	5.683	5.683	5.683	0	11.09	1	9.025	100.28%
2	100	11.23	8.97	0	0	5.683	6.262	7.248	6.398	0	11.23	1	8.97	99.67%
3	100	13.564	7.875	0	0	7.253	6.973	5.233	6.486	0	13.564	1	7.875	87.50%
4	100	11.285	8.937	0	0	5.218	5.218	5.218	5.218	0	11.285	1	8.937	99.30%
5	100	12.314	8.594	0	0	5.301	5.811	5.676	5.596	0	12.314	1	8.594	95.49%
6	100	15.015	8.144	1	0	8.721	9.576	10.192	9.496	45	60.015	0	0	90.49%
7	100	17.221	7.13	0	0	7.371	5.647	7.03	6.683	0	17.221	1	7.13	79.22%
8	100	30.25	4.829	1	0	7.33	6.899	7.603	7.277	45	75.25	0	0	53.66%
9	100	67.835	2.661	1	0	10.481	17.079	17.75	15.103	45	112.835	0	0	29.57%
10	100	42.483	3.364	1	0	17.44	22.227	29.148	22.938	45	87.483	0	0	37.38%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.142	9.003	0	0	7.409	7.409	7.409	7.409	0	11.142	1	9.003	100.03%
2	100	12.536	8.119	0	0	7.706	7.831	7.831	7.789	0	12.536	1	8.119	90.21%
3	100	16.645	6.63	0	0	7.822	7.734	6.81	7.455	0	16.645	1	6.63	73.67%
4	100	31.83	3.502	0	0	7.289	7.17	7.277	7.245	0	31.83	1	3.502	38.91%
5	100	22.14	5.836	0	0	6.247	5.272	6.1	5.873	0	22.14	1	5.836	64.84%
6	100	19.24	5.974	0	0	8.087	8.216	9.228	8.51	0	19.24	1	5.974	66.38%
7	100	38.25	3.619	0	0	6.307	4.048	5.63	5.328	0	38.25	1	3.619	40.21%
8	100	37.316	3.77	0	0	9.112	6.1	5.33	6.847	0	37.316	1	3.77	41.89%
9	100	67.875	2.252	0	0	6.758	6.216	4.372	5.782	0	67.875	1	2.252	25.02%
10	100	94.19	1.68	0	0	7.414	6.295	3.978	5.896	0	94.19	1	1.68	18.67%

Iteration  5	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.285	8.976	0	0	7.774	7.775	7.775	7.775	0	11.285	1	8.976	99.73%
2	100	11.135	9.041	0	0	7.775	7.775	7.775	7.775	0	11.135	1	9.041	100.46%
3	100	13.995	7.572	0	0	7.716	6.818	6.657	7.064	0	13.995	1	7.572	84.13%
4	100	17.52	6.062	0	0	6.857	7.253	7.33	7.147	0	17.52	1	6.062	67.36%
5	100	20.025	5.572	0	0	7.511	8.538	8.947	8.332	0	20.025	1	5.572	61.91%
6	100	29.19	4.37	0	0	8.389	5.553	7.779	7.24	0	29.19	1	4.37	48.56%
7	100	51.27	2.714	2	0	7.489	8.046	6.482	7.339	90	141.27	0	0	30.16%
8	100	69.85	2.406	1	0	4.898	5.657	4.121	4.892	45	114.85	0	0	26.73%
9	100	72.658	2.15	1	0	5.264	5.778	7.421	6.154	45	117.658	0	0	23.89%
10	100	82.276	2.277	3	0	6.464	8.073	8.339	7.625	135	217.276	0	0	25.30%

